Copepod_species,Copepod_order,Copepod_family,Host_species,Host_order,Host_family,Host_genus,BodyShapeI.x,Fresh,Brack,Saltwater,DemersPelag,AnaCat,DepthRangeShallow,DepthRangeDeep,LongevityWild,Length.x,LTypeMaxM,Class,BodyShapeI.y
Cresseyus confusus,Cyclopoida,Bomolochidae,Molva molva,Gadiformes,Lotidae,Molva,elongated,0,0,1,demersal,oceanodromous,100,1000,25,200,TL,Actinopteri,elongated
Cresseyus confusus,Cyclopoida,Bomolochidae,Pollachius virens,Gadiformes,Gadidae,Pollachius,fusiform / normal,0,0,1,demersal,oceanodromous,37,364,25,130,TL,Actinopteri,fusiform / normal
Cresseyus confusus,Cyclopoida,Bomolochidae,Trisopterus luscus,Gadiformes,Gadidae,Trisopterus,fusiform / normal,0,1,1,benthopelagic,oceanodromous,30,100,4,46,TL,Actinopteri,fusiform / normal
Cresseyus palleucus,Cyclopoida,Bomolochidae,Scorpaena plumieri,Perciformes,Scorpaenidae,Scorpaena,fusiform / normal,0,0,1,reef-associated,NA,1,60,NA,45,TL,Actinopteri,fusiform / normal
Cresseyus serratus,Cyclopoida,Bomolochidae,Scorpaena brasiliensis,Perciformes,Scorpaenidae,Scorpaena,fusiform / normal,0,0,1,reef-associated,NA,1,100,NA,35,TL,Actinopteri,fusiform / normal
Naricolax stocki,Cyclopoida,Bomolochidae,Acanthopagrus australis,Eupercaria incertae sedis,Sparidae,Acanthopagrus,fusiform / normal,0,1,1,demersal,oceanodromous,NA,NA,14,66,SL,Actinopteri,fusiform / normal
Naricolax stocki,Cyclopoida,Bomolochidae,Arius maculatus,Siluriformes,Ariidae,Arius,fusiform / normal,1,1,1,demersal,potamodromous,50,100,NA,80,TL,Actinopteri,elongated
Nothobomolochus gazzae,Cyclopoida,Bomolochidae,Gazza minuta,Acanthuriformes,Leiognathidae,Gazza,fusiform / normal,0,1,1,demersal,NA,10,110,NA,21,FL,Actinopteri,short and / or deep
Nothobomolochus gazzae,Cyclopoida,Bomolochidae,Siganus fuscescens,Acanthuriformes,Siganidae,Siganus,fusiform / normal,0,1,1,reef-associated,oceanodromous,1,50,NA,40,TL,Actinopteri,short and / or deep
Cresseyus longicaudus,Cyclopoida,Bomolochidae,Paralabrax clathratus,Perciformes,Serranidae,Paralabrax,fusiform / normal,0,0,1,benthopelagic,NA,1,61,34,72,TL,Actinopteri,fusiform / normal
Cresseyus longicaudus,Cyclopoida,Bomolochidae,Paralabrax nebulifer,Perciformes,Serranidae,Paralabrax,fusiform / normal,0,0,1,reef-associated,NA,1,183,31,67,TL,Actinopteri,fusiform / normal
Acanthocolax peruensis,Cyclopoida,Bomolochidae,Menticirrhus ophicephalus,Eupercaria incertae sedis,Sciaenidae,Menticirrhus,elongated,0,0,1,demersal,NA,NA,NA,NA,45,TL,Actinopteri,fusiform / normal
Bomolochus bramus,Cyclopoida,Bomolochidae,Brama brama,Scombriformes,Bramidae,Brama,short and / or deep,0,0,1,pelagic-neritic,oceanodromous,0,1000,9,100,TL,Actinopteri,short and / or deep
Bomolochus bramus,Cyclopoida,Bomolochidae,Brama japonica,Scombriformes,Bramidae,Brama,short and / or deep,0,0,1,pelagic-oceanic,oceanodromous,271,620,9,61,TL,Actinopteri,short and / or deep
Bomolochus bramus,Cyclopoida,Bomolochidae,Eumegistus illustris,Scombriformes,Bramidae,Eumegistus,short and / or deep,0,0,1,bathypelagic,NA,1,520,NA,47,SL,Actinopteri,short and / or deep
Acantholochus zairae,Cyclopoida,Bomolochidae,Sphoeroides annulatus,Tetraodontiformes,Tetraodontidae,Sphoeroides,short and / or deep,0,1,1,reef-associated,NA,10,60,NA,44,TL,Actinopteri,short and / or deep
Acantholochus albidus,Cyclopoida,Bomolochidae,Lophius piscatorius,Lophiiformes,Lophiidae,Lophius,short and / or deep,0,0,1,bathydemersal,NA,20,1000,24,200,SL,Actinopteri,short and / or deep
Acantholochus australiensis,Cyclopoida,Bomolochidae,Acanthopagrus australis,Eupercaria incertae sedis,Sparidae,Acanthopagrus,fusiform / normal,0,1,1,demersal,oceanodromous,NA,NA,14,66,SL,Actinopteri,fusiform / normal
Acantholochus venustus,Cyclopoida,Bomolochidae,Scorpaenichthys marmoratus,Perciformes,Cottidae,Scorpaenichthys,elongated,0,0,1,demersal,NA,0,200,13,99,TL,Actinopteri,elongated
Hamaticolax unisagittatus,Cyclopoida,Bomolochidae,Centropomus undecimalis,Carangaria incertae sedis,Centropomidae,Centropomus,fusiform / normal,1,1,1,reef-associated,amphidromous,NA,22,7,140,TL,Actinopteri,fusiform / normal
Hamaticolax galeichthyos,Cyclopoida,Bomolochidae,Galeichthys peruvianus,Siluriformes,Ariidae,Galeichthys,fusiform / normal,0,0,1,demersal,NA,NA,NA,NA,35,TL,Actinopteri,elongated
Acantholochus lamellatus,Cyclopoida,Bomolochidae,Conodon nobilis,Eupercaria incertae sedis,Haemulidae,Conodon,fusiform / normal,0,0,1,demersal,NA,1,100,NA,33.59999847,TL,Actinopteri,fusiform / normal
Orbitacolax pteragogi,Cyclopoida,Bomolochidae,Pteragogus flagellifer,Eupercaria incertae sedis,Labridae,Pteragogus,fusiform / normal,0,0,1,reef-associated,NA,2,78,NA,20,TL,Actinopteri,fusiform / normal
Orbitacolax unguifer,Cyclopoida,Bomolochidae,Pagrus major,Eupercaria incertae sedis,Sparidae,Pagrus,fusiform / normal,0,0,1,demersal,oceanodromous,10,200,NA,100,SL,Actinopteri,fusiform / normal
Orbitacolax unguifer,Cyclopoida,Bomolochidae,Acanthopagrus schlegelii,Eupercaria incertae sedis,Sparidae,Acanthopagrus,short and / or deep,0,1,1,demersal,NA,15,NA,NA,50,SL,Actinopteri,fusiform / normal
Hamaticolax resupinus,Cyclopoida,Bomolochidae,Coelorinchus mediterraneus,Gadiformes,Macrouridae,Coelorinchus,eel-like,0,0,1,bathydemersal,NA,800,1200,NA,24.5,TL,Actinopteri,elongated
Hamaticolax resupinus,Cyclopoida,Bomolochidae,Coryphaenoides mediterraneus,Gadiformes,Macrouridae,Coryphaenoides,elongated,0,0,1,bathypelagic,NA,1000,4262,NA,73,TL,Actinopteri,elongated
Orbitacolax brevispinus,Cyclopoida,Bomolochidae,Sphyraena pinguis,Carangaria incertae sedis,Sphyraenidae,Sphyraena,elongated,0,0,1,pelagic-neritic,NA,3,6,NA,50,TL,Actinopteri,elongated
Unicolax longicrus,Cyclopoida,Bomolochidae,Sillago maculata,Eupercaria incertae sedis,Sillaginidae,Sillago,elongated,0,1,1,demersal,non-migratory,0,50,NA,30,TL,Actinopteri,elongated
Unicolax longicrus,Cyclopoida,Bomolochidae,Sillago ciliata,Eupercaria incertae sedis,Sillaginidae,Sillago,fusiform / normal,0,1,1,demersal,non-migratory,0,46,22,51,TL,Actinopteri,elongated
Nothobomolochus johndaveorum,Cyclopoida,Bomolochidae,Gerres subfasciatus,Eupercaria incertae sedis,Gerreidae,Gerres,fusiform / normal,0,1,1,demersal,NA,3,40,NA,20,TL,Actinopteri,short and / or deep
Nothobomolochus johndaveorum,Cyclopoida,Bomolochidae,Gerres oyena,Eupercaria incertae sedis,Gerreidae,Gerres,fusiform / normal,0,1,1,reef-associated,NA,0,20,NA,30,TL,Actinopteri,short and / or deep
Naricolax sphyraenae,Cyclopoida,Bomolochidae,Sphyraena pinguis,Carangaria incertae sedis,Sphyraenidae,Sphyraena,elongated,0,0,1,pelagic-neritic,NA,3,6,NA,50,TL,Actinopteri,elongated
Bomolochus hoi,Cyclopoida,Bomolochidae,Neoditrema ransonnetii,Ovalentaria incertae sedis,Embiotocidae,Neoditrema,NA,0,0,1,demersal,NA,0,NA,NA,13,FL,Actinopteri,short and / or deep
Orbitacolax scombropsi,Cyclopoida,Bomolochidae,Scombrops boops,Acropomatiformes,Scombropidae,Scombrops,fusiform / normal,0,0,1,benthopelagic,NA,20,400,NA,150,TL,Actinopteri,fusiform / normal
Paraorbitacolax sphyraenae,Cyclopoida,Bomolochidae,Sphyraena pinguis,Carangaria incertae sedis,Sphyraenidae,Sphyraena,elongated,0,0,1,pelagic-neritic,NA,3,6,NA,50,TL,Actinopteri,elongated
Pseudoeucanthus rhabdosargi,Cyclopoida,Bomolochidae,Rhabdosargus sarba,Eupercaria incertae sedis,Sparidae,Rhabdosargus,short and / or deep,0,1,1,reef-associated,oceanodromous,0,60,NA,80,TL,Actinopteri,fusiform / normal
Pumiliopes scombri,Cyclopoida,Bomolochidae,Scomber japonicus,Scombriformes,Scombridae,Scomber,fusiform / normal,0,0,1,pelagic-neritic,oceanodromous,0,300,18,64,TL,Actinopteri,fusiform / normal
Pumiliopes scombri,Cyclopoida,Bomolochidae,Scomber australasicus,Scombriformes,Scombridae,Scomber,fusiform / normal,0,0,1,pelagic-neritic,oceanodromous,87,200,NA,44,FL,Actinopteri,fusiform / normal
Triceracolax pagri,Cyclopoida,Bomolochidae,Pagrus major,Eupercaria incertae sedis,Sparidae,Pagrus,fusiform / normal,0,0,1,demersal,oceanodromous,10,200,NA,100,SL,Actinopteri,fusiform / normal
Orbitacolax bispinus,Cyclopoida,Bomolochidae,Calotomus japonicus,Eupercaria incertae sedis,Scaridae,Calotomus,short and / or deep,0,0,1,reef-associated,NA,NA,NA,NA,39,TL,Actinopteri,fusiform / normal
Naricolax holinorum,Cyclopoida,Bomolochidae,Acanthopagrus schlegelii,Eupercaria incertae sedis,Sparidae,Acanthopagrus,short and / or deep,0,1,1,demersal,NA,15,NA,NA,50,SL,Actinopteri,fusiform / normal
Hamaticolax physiculi,Cyclopoida,Bomolochidae,Physiculus japonicus,Gadiformes,Moridae,Physiculus,elongated,0,0,1,bathydemersal,NA,139,1007,NA,35,TL,Actinopteri,elongated
Parahamaticolax ezoisoainame,Cyclopoida,Bomolochidae,Physiculus japonicus,Gadiformes,Moridae,Physiculus,elongated,0,0,1,bathydemersal,NA,139,1007,NA,35,TL,Actinopteri,elongated
Ttetaloia hoshinoi,Cyclopoida,Chondracanthidae,Springerichthys bapturus,Blenniiformes,Tripterygiidae,Springerichthys,elongated,0,0,1,demersal,NA,NA,NA,NA,6.5,SL,Actinopteri,elongated
Chondracanthus hoi,Cyclopoida,Chondracanthidae,Zenopsis conchifer,Zeiformes,Zeidae,Zenopsis,short and / or deep,0,0,1,benthopelagic, ,50,600,NA,80,TL,Actinopteri,short and / or deep
