"","source_taxon_external_id","source_taxon_name","source_taxon_path","source_specimen_life_stage","interaction_type","target_taxon_external_id","target_taxon_name","target_taxon_path","target_specimen_life_stage","latitude","longitude","study_citation","study_source_ciation"
"1",367863,"Cresseyus confusus","Animalia | Arthropoda | Copepoda | Cyclopoida | Bomolochidae | Cresseyus | Cresseyus confusus","adult","ectoparasitic",126461,"Molva molva","Animalia | Chordata | Teleostei | Gadiformes | Lotidae | Molva | Molva molva",NA,NA,NA,"Ho, J.S. & C.L. Lin. (2006). A new bomolochid copepod parasitic on marine fishes of Taiwan, with reassignment of species of Holobomolochus Vervoort, 1969. <em>Crustaceana (Leiden).</em> 78(11):1369-1381. [for 2005}.",NA
"2",367863,"Cresseyus confusus","Animalia | Arthropoda | Copepoda | Cyclopoida | Bomolochidae | Cresseyus | Cresseyus confusus","adult","ectoparasitic",126441,"Pollachius virens","Animalia | Chordata | Teleostei | Gadiformes | Gadidae | Pollachius | Pollachius virens",NA,NA,NA,"Ho, J.S. & C.L. Lin. (2006). A new bomolochid copepod parasitic on marine fishes of Taiwan, with reassignment of species of Holobomolochus Vervoort, 1969. <em>Crustaceana (Leiden).</em> 78(11):1369-1381. [for 2005}.",NA
"3",367863,"Cresseyus confusus","Animalia | Arthropoda | Copepoda | Cyclopoida | Bomolochidae | Cresseyus | Cresseyus confusus","adult","ectoparasitic",126445,"Trisopterus luscus","Animalia | Chordata | Teleostei | Gadiformes | Gadidae | Trisopterus | Trisopterus luscus",NA,NA,NA,"Ho, J.S. & C.L. Lin. (2006). A new bomolochid copepod parasitic on marine fishes of Taiwan, with reassignment of species of Holobomolochus Vervoort, 1969. <em>Crustaceana (Leiden).</em> 78(11):1369-1381. [for 2005}.",NA
"4",367864,"Cresseyus palleucus","Animalia | Arthropoda | Copepoda | Cyclopoida | Bomolochidae | Cresseyus | Cresseyus palleucus","adult","ectoparasitic",159564,"Scorpaena plumieri","Animalia | Chordata | Teleostei | Perciformes | Scorpaenidae | Scorpaena | Scorpaena plumieri",NA,NA,NA,"Wilson, C.B. (1913). Crustacean parasites of West Indian fishes and land crabs, with descriptions of new genera and species. Proceedings of the United States National Museum 44(1950):189-227, pls. 18-53. (3-iv-1913)",NA
"5",367865,"Cresseyus serratus","Animalia | Arthropoda | Copepoda | Cyclopoida | Bomolochidae | Cresseyus | Cresseyus serratus","adult","ectoparasitic",159562,"Scorpaena brasiliensis","Animalia | Chordata | Teleostei | Perciformes | Scorpaenidae | Scorpaena | Scorpaena brasiliensis",NA,NA,NA,"Cressey, R.F. (1981). Parasitic copepods from the Gulf of Mexico and Caribbean Sea, I: Holobomolochus and Neobomolochus. Smithsonian Contributions to Zoology 339:i-iii, 1-24, figs. 1-72. (19-x-1981)",NA
"6",367924,"Naricolax stocki","Animalia | Arthropoda | Copepoda | Cyclopoida | Bomolochidae | Naricolax | Naricolax stocki","adult","ectoparasitic",279070,"Acanthopagrus australis","Animalia | Chordata | Teleostei | Eupercaria incertae sedis | Sparidae | Acanthopagrus | Acanthopagrus australis",NA,NA,NA,"Ho, J.S. & C.L. Lin. (2005). Three species of Naricolax  Ho, Do & Kasahara, 1983 (Copepoda, Bomolochidae) parasitic in the nasal cavities of marine fishes of Taiwan. Crustaceana 78(5):599-619.",NA
"7",367924,"Naricolax stocki","Animalia | Arthropoda | Copepoda | Cyclopoida | Bomolochidae | Naricolax | Naricolax stocki","adult","ectoparasitic",275578,"Arius maculatus","Animalia | Chordata | Teleostei | Siluriformes | Ariidae | Arius | Arius maculatus",NA,NA,NA,"Ho, J.S. & C.L. Lin. (2005). Three species of Naricolax  Ho, Do & Kasahara, 1983 (Copepoda, Bomolochidae) parasitic in the nasal cavities of marine fishes of Taiwan. Crustaceana 78(5):599-619.",NA
"8",367925,"Nothobomolochus gazzae","Animalia | Arthropoda | Copepoda | Cyclopoida | Bomolochidae | Nothobomolochus | Nothobomolochus gazzae","adult","ectoparasitic",218451,"Gazza minuta","Animalia | Chordata | Teleostei | Acanthuriformes | Leiognathidae | Gazza | Gazza minuta",NA,NA,NA,"Shen, C.J. (1957). Parasitic Copepoda from fishes of China. Part I. Cyclopoida (1). <em>Acta Zoologica Sinica.</em> 9(4):297-328, pls. 1-9. (xii-1957, Chinese with English summary).",NA
"9",367925,"Nothobomolochus gazzae","Animalia | Arthropoda | Copepoda | Cyclopoida | Bomolochidae | Nothobomolochus | Nothobomolochus gazzae","adult","ectoparasitic",273912,"Siganus fuscescens","Animalia | Chordata | Teleostei | Acanthuriformes | Siganidae | Siganus | Siganus fuscescens",NA,NA,NA,"Lin, C.L. & J.S. Ho. (2008). Nothobomolochus gazzae (Shen, 1957), a rare parasitic copepod found on marine fish of Taiwan. <em>Journal of the Fisheries Society of Taiwan.</em> 35(2):167-173.",NA
"10",368003,"Cresseyus longicaudus","Animalia | Arthropoda | Copepoda | Cyclopoida | Bomolochidae | Cresseyus | Cresseyus longicaudus","adult","ectoparasitic",282054,"Paralabrax clathratus","Animalia | Chordata | Teleostei | Perciformes | Serranidae | Paralabrax | Paralabrax clathratus",NA,NA,NA,"Cressey, R.F. (1969). Five new parasitic copepods from California inshore fish. Proceedings of the Biological Society of Washington 82:409-428, figs. 1-61. (3-x-1969)",NA
"11",368003,"Cresseyus longicaudus","Animalia | Arthropoda | Copepoda | Cyclopoida | Bomolochidae | Cresseyus | Cresseyus longicaudus","adult","ectoparasitic",282059,"Paralabrax nebulifer","Animalia | Chordata | Teleostei | Perciformes | Serranidae | Paralabrax | Paralabrax nebulifer",NA,NA,NA,"Ho, J.S. & C.L. Lin. (2006). A new bomolochid copepod parasitic on marine fishes of Taiwan, with reassignment of species of Holobomolochus Vervoort, 1969. <em>Crustaceana (Leiden).</em> 78(11):1369-1381. [for 2005}.",NA
