"","source_taxon_external_id","source_taxon_name","source_taxon_path","source_specimen_life_stage","interaction_type","target_taxon_external_id","target_taxon_name","target_taxon_path","target_specimen_life_stage","latitude","longitude","study_citation"
"1",361977,"Acanthochondria triangularis","Animalia | Arthropoda | Copepoda | Cyclopoida | Chondracanthidae | Acanthochondria | Acanthochondria triangularis","adult","ectoparasitic",1021355,"Laemolyta taeniata","Animalia | Chordata | Teleostei | Characiformes | Anostomidae | Laemolyta | Laemolyta taeniata",NA,NA,NA,"Thatcher, V.E. (1998). Copepods and fishes in the Brazilian Amazon. In: Dahms, H.U., T. Glatzel, H.J. Hirche, S. Schiel & H.K. Schminke, (eds.). Proceedings of the 6th International Conference on Copepoda,  Journal of Marine Systems, Spec. Vol. 15(1-4):97"
"2",356584,"Acusicola tenax","Animalia | Arthropoda | Copepoda | Cyclopoida | Ergasilidae | Acusicola | Acusicola tenax","adult","ectoparasitic",1022855,"Pomoxis annularis","Animalia | Chordata | Teleostei | Centrarchiformes | Centrarchidae | Pomoxis | Pomoxis annularis",NA,NA,NA,"Thatcher, V.E. (1991). Amazon fish parasites. Amazoniana 11(3-4):263-571."
"3",356585,"Ergasilus jaraquensis","Animalia | Arthropoda | Copepoda | Cyclopoida | Ergasilidae | Ergasilus | Ergasilus jaraquensis","adult","ectoparasitic",1018426,"Semaprochilodus insignis","Animalia | Chordata | Teleostei | Characiformes | Prochilodontidae | Semaprochilodus | Semaprochilodus insignis",NA,NA,NA,"Thatcher, V.E. (1991). Amazon fish parasites. Amazoniana 11(3-4):263-571."
"4",356585,"Ergasilus jaraquensis","Animalia | Arthropoda | Copepoda | Cyclopoida | Ergasilidae | Ergasilus | Ergasilus jaraquensis","adult","ectoparasitic",1018426,"Semaprochilodus insignis","Animalia | Chordata | Teleostei | Characiformes | Prochilodontidae | Semaprochilodus | Semaprochilodus insignis",NA,NA,NA,"Thatcher, V.E. (1998). Copepods and fishes in the Brazilian Amazon. In: Dahms, H.U., T. Glatzel, H.J. Hirche, S. Schiel & H.K. Schminke, (eds.). Proceedings of the 6th International Conference on Copepoda,  Journal of Marine Systems, Spec. Vol. 15(1-4):97"
"5",356585,"Ergasilus jaraquensis","Animalia | Arthropoda | Copepoda | Cyclopoida | Ergasilidae | Ergasilus | Ergasilus jaraquensis","adult","ectoparasitic",1018426,"Semaprochilodus insignis","Animalia | Chordata | Teleostei | Characiformes | Prochilodontidae | Semaprochilodus | Semaprochilodus insignis",NA,NA,NA,"Thatcher, V.E. & B.A. Robertson. (1982). The parasitic crustaceans of fishes from the Brazilian Amazon, 3, Ergasilus jaraquensis, n. sp. (Copepoda: Cyclopoidea) from the gills of Semaprochilodus insignis (Schomburg K). Revista Brasileira de Biologia, Rio"
"6",356972,"Ergasilus megacheir","Animalia | Arthropoda | Copepoda | Cyclopoida | Ergasilidae | Ergasilus | Ergasilus megacheir","adult","ectoparasitic",1018952,"Synodontis granulosus","Animalia | Chordata | Teleostei | Siluriformes | Mochokidae | Synodontis | Synodontis granulosus",NA,NA,NA,"Fryer, G. (1965). Crustacean parasites of African freshwater fishes, mostly collected during the expeditions to Lake Tanganyika, and to Lakes Kivu, Edward and Albert by the Institut Royal des Bulletin de l'Institut Royal des Sciences Naturelles de Belgiqu"
"7",356972,"Ergasilus megacheir","Animalia | Arthropoda | Copepoda | Cyclopoida | Ergasilidae | Ergasilus | Ergasilus megacheir","adult","ectoparasitic",1019139,"Synodontis multipunctatus","Animalia | Chordata | Teleostei | Siluriformes | Mochokidae | Synodontis | Synodontis multipunctatus",NA,NA,NA,"Fryer, G. (1965). Crustacean parasites of African freshwater fishes, mostly collected during the expeditions to Lake Tanganyika, and to Lakes Kivu, Edward and Albert by the Institut Royal des Bulletin de l'Institut Royal des Sciences Naturelles de Belgiqu"
"8",356972,"Ergasilus megacheir","Animalia | Arthropoda | Copepoda | Cyclopoida | Ergasilidae | Ergasilus | Ergasilus megacheir","adult","ectoparasitic",1018473,"Cyphotilapia frontosa","Animalia | Chordata | Teleostei | Cichliformes | Cichlidae | Cyphotilapia | Cyphotilapia frontosa",NA,NA,NA,"Fryer, G. (1965). Crustacean parasites of African freshwater fishes, mostly collected during the expeditions to Lake Tanganyika, and to Lakes Kivu, Edward and Albert by the Institut Royal des Bulletin de l'Institut Royal des Sciences Naturelles de Belgiqu"
"9",356972,"Ergasilus megacheir","Animalia | Arthropoda | Copepoda | Cyclopoida | Ergasilidae | Ergasilus | Ergasilus megacheir","adult","ectoparasitic",1018896,"Bathybates fasciatus","Animalia | Chordata | Teleostei | Cichliformes | Cichlidae | Bathybates | Bathybates fasciatus",NA,NA,NA,"Fryer, G. (1965). Crustacean parasites of African freshwater fishes, mostly collected during the expeditions to Lake Tanganyika, and to Lakes Kivu, Edward and Albert by the Institut Royal des Bulletin de l'Institut Royal des Sciences Naturelles de Belgiqu"
"10",356972,"Ergasilus megacheir","Animalia | Arthropoda | Copepoda | Cyclopoida | Ergasilidae | Ergasilus | Ergasilus megacheir","adult","ectoparasitic",1018399,"Bathybates minor","Animalia | Chordata | Teleostei | Cichliformes | Cichlidae | Bathybates | Bathybates minor",NA,NA,NA,"Fryer, G. (1965). Crustacean parasites of African freshwater fishes, mostly collected during the expeditions to Lake Tanganyika, and to Lakes Kivu, Edward and Albert by the Institut Royal des Bulletin de l'Institut Royal des Sciences Naturelles de Belgiqu"
"11",356972,"Ergasilus megacheir","Animalia | Arthropoda | Copepoda | Cyclopoida | Ergasilidae | Ergasilus | Ergasilus megacheir","adult","ectoparasitic",1018397,"Haplotaxodon microlepis","Animalia | Chordata | Teleostei | Cichliformes | Cichlidae | Haplotaxodon | Haplotaxodon microlepis",NA,NA,NA,"Fryer, G. (1965). Crustacean parasites of African freshwater fishes, mostly collected during the expeditions to Lake Tanganyika, and to Lakes Kivu, Edward and Albert by the Institut Royal des Bulletin de l'Institut Royal des Sciences Naturelles de Belgiqu"
