"","AphiaID_host","Scientificname_host","AphiaID","url","scientificname","authority","status","unacceptreason","taxonRankID","rank","valid_AphiaID","valid_name","valid_authority","parentNameUsageID","kingdom","phylum","class","order","family","genus","citation","lsid","isMarine","isBrackish","isFreshwater","isTerrestrial","isExtinct","match_type","modified"
"1",103710,"Ascidia mentula",103710,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=103710","Ascidia mentula","Müller, 1776","accepted",NA,220,"Species",103710,"Ascidia mentula","Müller, 1776",103483,"Animalia","Chordata","Ascidiacea","Phlebobranchia","Ascidiidae","Ascidia","Shenkar, N.; Gittenberger, A.; Lambert, G.; Rius, M.; Moreira da Rocha, R.; Swalla, B.J.; Turon, X. (2024). Ascidiacea World Database. Ascidia mentula Müller, 1776. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=103710 on 2024-05-18","urn:lsid:marinespecies.org:taxname:103710",1,NA,0,0,NA,"exact","2007-12-05T12:32:01.097Z"
"2",103713,"Ascidia obliqua",103713,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=103713","Ascidia obliqua","Alder, 1863","accepted",NA,220,"Species",103713,"Ascidia obliqua","Alder, 1863",103483,"Animalia","Chordata","Ascidiacea","Phlebobranchia","Ascidiidae","Ascidia","Shenkar, N.; Gittenberger, A.; Lambert, G.; Rius, M.; Moreira da Rocha, R.; Swalla, B.J.; Turon, X. (2024). Ascidiacea World Database. Ascidia obliqua Alder, 1863. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=103713 on 2024-05-18","urn:lsid:marinespecies.org:taxname:103713",1,NA,0,0,NA,"exact","2007-12-05T12:32:01.097Z"
"3",103718,"Ascidiella aspersa",103718,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=103718","Ascidiella aspersa","(Müller, 1776)","accepted",NA,220,"Species",103718,"Ascidiella aspersa","(Müller, 1776)",103484,"Animalia","Chordata","Ascidiacea","Phlebobranchia","Ascidiidae","Ascidiella","Shenkar, N.; Gittenberger, A.; Lambert, G.; Rius, M.; Moreira da Rocha, R.; Swalla, B.J.; Turon, X. (2024). Ascidiacea World Database. Ascidiella aspersa (Müller, 1776). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=103718 on 2024-05-18","urn:lsid:marinespecies.org:taxname:103718",1,NA,0,0,NA,"exact","2007-12-05T12:32:01.097Z"
"4",103719,"Ascidiella scabra",103719,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=103719","Ascidiella scabra","(Müller, 1776)","accepted",NA,220,"Species",103719,"Ascidiella scabra","(Müller, 1776)",103484,"Animalia","Chordata","Ascidiacea","Phlebobranchia","Ascidiidae","Ascidiella","Shenkar, N.; Gittenberger, A.; Lambert, G.; Rius, M.; Moreira da Rocha, R.; Swalla, B.J.; Turon, X. (2024). Ascidiacea World Database. Ascidiella scabra (Müller, 1776). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=103719 on 2024-05-18","urn:lsid:marinespecies.org:taxname:103719",1,NA,0,0,NA,"exact","2007-12-05T13:31:33.127Z"
"5",173223,"Corella eumyota",173223,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=173223","Corella eumyota","Traustedt, 1882","accepted",NA,220,"Species",173223,"Corella eumyota","Traustedt, 1882",103495,"Animalia","Chordata","Ascidiacea","Phlebobranchia","Corellidae","Corella","Shenkar, N.; Gittenberger, A.; Lambert, G.; Rius, M.; Moreira da Rocha, R.; Swalla, B.J.; Turon, X. (2024). Ascidiacea World Database. Corella eumyota Traustedt, 1882. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=173223 on 2024-05-18","urn:lsid:marinespecies.org:taxname:173223",1,NA,0,0,NA,"exact","2007-12-05T12:32:01.097Z"
"6",103743,"Corella parallelogramma",103743,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=103743","Corella parallelogramma","(Müller, 1776)","accepted",NA,220,"Species",103743,"Corella parallelogramma","(Müller, 1776)",103495,"Animalia","Chordata","Ascidiacea","Phlebobranchia","Corellidae","Corella","Shenkar, N.; Gittenberger, A.; Lambert, G.; Rius, M.; Moreira da Rocha, R.; Swalla, B.J.; Turon, X. (2024). Ascidiacea World Database. Corella parallelogramma (Müller, 1776). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=103743 on 2024-05-18","urn:lsid:marinespecies.org:taxname:103743",1,NA,0,0,NA,"exact","2011-06-17T17:08:18.210Z"
"7",103830,"Herdmania momus",103830,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=103830","Herdmania momus","(Savigny, 1816)","accepted",NA,220,"Species",103830,"Herdmania momus","(Savigny, 1816)",233993,"Animalia","Chordata","Ascidiacea","Stolidobranchia","Pyuridae","Herdmania","Shenkar, N.; Gittenberger, A.; Lambert, G.; Rius, M.; Moreira da Rocha, R.; Swalla, B.J.; Turon, X. (2024). Ascidiacea World Database. Herdmania momus (Savigny, 1816). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=103830 on 2024-05-18","urn:lsid:marinespecies.org:taxname:103830",1,NA,0,0,NA,"exact","2007-12-05T12:32:01.097Z"
"8",103837,"Microcosmus claudicans",103837,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=103837","Microcosmus claudicans","(Savigny, 1816)","accepted",NA,220,"Species",103837,"Microcosmus claudicans","(Savigny, 1816)",103522,"Animalia","Chordata","Ascidiacea","Stolidobranchia","Pyuridae","Microcosmus","Shenkar, N.; Gittenberger, A.; Lambert, G.; Rius, M.; Moreira da Rocha, R.; Swalla, B.J.; Turon, X. (2024). Ascidiacea World Database. Microcosmus claudicans (Savigny, 1816). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=103837 on 2024-05-18","urn:lsid:marinespecies.org:taxname:103837",1,NA,0,0,NA,"exact","2007-12-05T12:32:01.097Z"
"9",103844,"Microcosmus sabatieri",103844,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=103844","Microcosmus sabatieri","Roule, 1885","accepted",NA,220,"Species",103844,"Microcosmus sabatieri","Roule, 1885",103522,"Animalia","Chordata","Ascidiacea","Stolidobranchia","Pyuridae","Microcosmus","Shenkar, N.; Gittenberger, A.; Lambert, G.; Rius, M.; Moreira da Rocha, R.; Swalla, B.J.; Turon, X. (2024). Ascidiacea World Database. Microcosmus sabatieri Roule, 1885. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=103844 on 2024-05-18","urn:lsid:marinespecies.org:taxname:103844",1,NA,0,0,NA,"exact","2007-12-05T12:32:01.097Z"
"10",103846,"Microcosmus vulgaris",103846,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=103846","Microcosmus vulgaris","Heller, 1877","accepted",NA,220,"Species",103846,"Microcosmus vulgaris","Heller, 1877",103522,"Animalia","Chordata","Ascidiacea","Stolidobranchia","Pyuridae","Microcosmus","Shenkar, N.; Gittenberger, A.; Lambert, G.; Rius, M.; Moreira da Rocha, R.; Swalla, B.J.; Turon, X. (2024). Ascidiacea World Database. Microcosmus vulgaris Heller, 1877. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=103846 on 2024-05-18","urn:lsid:marinespecies.org:taxname:103846",1,NA,0,0,NA,"exact","2007-12-05T12:32:01.097Z"
