...1,AphiaID_host,scientificname,valid_AphiaID,valid_name,isMarine,isBrackish,isFreshwater,taxon_path
316,154613,Rhodeus sericeus,154613,Rhodeus sericeus,0,0,1,Animalia|Chordata|Teleostei|Cypriniformes|Cyprinidae|Rhodeus|Rhodeus sericeus
321,298275,Squalidus chankaensis,298275,Squalidus chankaensis,0,0,1,Animalia|Chordata|Teleostei|Cypriniformes|Cyprinidae|Squalidus|Squalidus chankaensis
327,1026693,Leuciscus waleckii,1026693,Leuciscus waleckii,0,0,1,Animalia|Chordata|Teleostei|Cypriniformes|Cyprinidae|Leuciscus|Leuciscus waleckii
332,1023018,Pseudaspius leptocephalus,1023018,Pseudaspius leptocephalus,0,0,1,Animalia|Chordata|Teleostei|Cypriniformes|Cyprinidae|Pseudaspius|Pseudaspius leptocephalus
334,1016070,Gobio soldatovi,1016070,Gobio soldatovi,0,0,1,Animalia|Chordata|Teleostei|Cypriniformes|Cyprinidae|Gobio|Gobio soldatovi
335,1022039,Elopichthys bambusa,1022039,Elopichthys bambusa,0,0,1,Animalia|Chordata|Teleostei|Cypriniformes|Cyprinidae|Elopichthys|Elopichthys bambusa
336,1020685,Aphyocypris chinensis,1020685,Aphyocypris chinensis,0,0,1,Animalia|Chordata|Teleostei|Cypriniformes|Cyprinidae|Aphyocypris|Aphyocypris chinensis
337,1021471,Culter alburnus,1021471,Culter alburnus,0,0,1,Animalia|Chordata|Teleostei|Cypriniformes|Cyprinidae|Culter|Culter alburnus
338,1014993,Hemibarbus maculatus,1014993,Hemibarbus maculatus,0,0,1,Animalia|Chordata|Teleostei|Cypriniformes|Cyprinidae|Hemibarbus|Hemibarbus maculatus
339,1022003,Opsariichthys uncirostris,1022003,Opsariichthys uncirostris,0,0,1,Animalia|Chordata|Teleostei|Cypriniformes|Cyprinidae|Opsariichthys|Opsariichthys uncirostris
341,1048148,Pseudobagrus fulvidraco,1022007,Tachysurus fulvidraco,0,0,1,Animalia|Chordata|Teleostei|Siluriformes|Bagridae|Pseudobagrus|Tachysurus fulvidraco
343,1015911,Xenocypris macrolepis,1015911,Xenocypris macrolepis,0,0,1,Animalia|Chordata|Teleostei|Cypriniformes|Cyprinidae|Xenocypris|Xenocypris macrolepis
363,1022846,Lepomis macrochirus,1022846,Lepomis macrochirus,0,0,1,Animalia|Chordata|Teleostei|Centrarchiformes|Centrarchidae|Lepomis|Lepomis macrochirus
364,1042661,Lepomis microlophus,1042661,Lepomis microlophus,0,0,1,Animalia|Chordata|Teleostei|Centrarchiformes|Centrarchidae|Lepomis|Lepomis microlophus
