"","...1","name","tiplabel","species","AphiaID"
"1",1,1,"Gambusia_marshi","Gambusia marshi",276138
"2",2,2,"Gambusia_panuco","Gambusia panuco",1016237
"3",3,3,"Gambusia_regani","Gambusia regani",1016236
"4",4,4,"Gambusia_aurata","Gambusia aurata",1013184
"5",5,5,"Gambusia_hurtadoi","Gambusia hurtadoi",1013947
"6",6,6,"Gambusia_gaigei","Gambusia gaigei",1015951
"7",7,7,"Gambusia_vittata","Gambusia vittata",1016238
"8",8,8,"Gambusia_atrora","Gambusia atrora",1013602
"9",9,9,"Gambusia_rhizophorae","Gambusia rhizophorae",276141
"10",10,10,"Gambusia_punctata","Gambusia punctata",1013995
"11",11,11,"Gambusia_zarskei","Gambusia zarskei",1007758
"12",12,12,"Gambusia_geiseri","Gambusia geiseri",1013951
"13",13,13,"Gambusia_speciosa","Gambusia speciosa",1021261
"14",14,14,"Gambusia_heterochir","Gambusia heterochir",276133
"15",15,15,"Gambusia_clarkhubbsi","Gambusia clarkhubbsi",1009643
"16",16,16,"Gambusia_krumholzi","Gambusia krumholzi",1013601
"17",17,17,"Gambusia_holbrooki","Gambusia holbrooki",276134
"18",18,18,"Gambusia_affinis","Gambusia affinis",159325
"19",19,19,"Gambusia_melapleura","Gambusia melapleura",1026892
"20",20,20,"Gambusia_wrayi","Gambusia wrayi",276143
"21",21,21,"Gambusia_hispaniolae","Gambusia hispaniolae",1013127
"22",22,22,"Gambusia_yucatana","Gambusia yucatana",422559
"23",23,23,"Gambusia_puncticulata","Gambusia puncticulata",NA
"24",24,24,"Gambusia_manni","Gambusia manni",276137
"25",25,25,"Gambusia_nicaraguensis","Gambusia nicaraguensis",276139
"26",26,26,"Gambusia_lemaitrei","Gambusia lemaitrei",276135
"27",27,27,"Gambusia_eurystoma","Gambusia eurystoma",1383654
"28",28,28,"Gambusia_sexradiata","Gambusia sexradiata",276142
"29",29,29,"Heterophallus_milleri","Heterophallus milleri",1011614
"30",30,30,"Heterophallus_rachovii","Heterophallus rachovii",1014178
"31",31,31,"Gambusia_luma","Gambusia luma",276136
"32",32,32,"Belonesox_belizanus","Belonesox belizanus",279891
"33",33,33,"Xiphophorus_malinche","Xiphophorus malinche",1011403
"34",34,34,"Xiphophorus_continens","Xiphophorus continens",1011406
"35",35,35,"Xiphophorus_nezahualcoyotl","Xiphophorus nezahualcoyotl",1011405
"36",36,36,"Xiphophorus_montezumae","Xiphophorus montezumae",1019001
"37",37,37,"Xiphophorus_cortezi","Xiphophorus cortezi",1524797
"38",38,38,"Xiphophorus_nigrensis","Xiphophorus nigrensis",1524798
"39",39,39,"Xiphophorus_pygmaeus","Xiphophorus pygmaeus",1014579
"40",40,40,"Xiphophorus_andersi","Xiphophorus andersi",1012400
"41",41,41,"Xiphophorus_couchianus","Xiphophorus couchianus",1020877
"42",42,42,"Xiphophorus_gordoni","Xiphophorus gordoni",1013617
"43",43,43,"Xiphophorus_meyeri","Xiphophorus meyeri",1011782
"44",44,44,"Xiphophorus_evelynae","Xiphophorus evelynae",1524792
"45",45,45,"Xiphophorus_variatus","Xiphophorus variatus",1018625
"46",46,46,"Xiphophorus_milleri","Xiphophorus milleri",283198
"47",47,47,"Xiphophorus_maculatus","Xiphophorus maculatus",862549
"48",48,48,"Xiphophorus_xiphidium","Xiphophorus xiphidium",1015734
"49",49,49,"Xiphophorus_clemenciae","Xiphophorus clemenciae",1013858
"50",50,50,"Xiphophorus_alvarezi","Xiphophorus alvarezi",1013802
"51",51,51,"Xiphophorus_hellerii","Xiphophorus hellerii",283197
"52",52,52,"Xiphophorus_signum","Xiphophorus signum",1013268
"53",53,53,"Xiphophorus_mayae","Xiphophorus mayae",1009845
"54",54,54,"Xiphophorus_kallmani","Xiphophorus kallmani",1009571
"55",55,55,"Xiphophorus_mixei","Xiphophorus mixei",1009470
"56",56,56,"Xiphophorus_monticolus","Xiphophorus monticolus",1009485
"57",57,57,"Pseudoxiphophorus_obliquus","Pseudoxiphophorus obliquus",1012516
"58",58,58,"Pseudoxiphophorus_bimaculatus","Pseudoxiphophorus bimaculatus",1351416
"59",59,59,"Pseudoxiphophorus_jonesii","Pseudoxiphophorus jonesii",1253521
"60",60,60,"Priapella_compressa","Priapella compressa",1014292
"61",61,61,"Priapella_lacandonae","Priapella lacandonae",1007828
"62",62,62,"Priapella_chamulae","Priapella chamulae",1008916
"63",63,63,"Priapella_olmecae","Priapella olmecae",1011407
"64",64,64,"Priapella_intermedia","Priapella intermedia",1014125
"65",65,65,"Scolichthys_greenwayi","Scolichthys greenwayi",1383617
"66",66,66,"Carlhubbsia_kidderi","Carlhubbsia kidderi",1525356
"67",67,67,"Carlhubbsia_stuarti","Carlhubbsia stuarti",1013832
"68",68,68,"Poeciliopsis_sonoriensis","Poeciliopsis sonoriensis",1021276
"69",69,69,"Poeciliopsis_occidentalis","Poeciliopsis occidentalis",1021674
"70",70,70,"Poeciliopsis_lucida","Poeciliopsis lucida",1013764
"71",71,71,"Poeciliopsis_prolifica","Poeciliopsis prolifica",282307
"72",72,72,"Poeciliopsis_infans","Poeciliopsis infans",1014626
"73",73,73,"Poeciliopsis_viriosa","Poeciliopsis viriosa",1007624
"74",74,74,"Poeciliopsis_monacha","Poeciliopsis monacha",1013768
"75",75,75,"Poeciliopsis_latidens","Poeciliopsis latidens",282306
"76",76,76,"Poeciliopsis_fasciata","Poeciliopsis fasciata",282305
"77",77,77,"Poeciliopsis_baenschi","Poeciliopsis baenschi",1383825
"78",78,78,"Poeciliopsis_catemaco","Poeciliopsis catemaco",1012836
"79",79,79,"Poeciliopsis_hnilickai","Poeciliopsis hnilickai",1012305
"80",80,80,"Poeciliopsis_gracilis","Poeciliopsis gracilis",1016360
"81",81,81,"Poeciliopsis_pleurospilus","Poeciliopsis pleurospilus",1020869
"82",82,82,"Poeciliopsis_turneri","Poeciliopsis turneri",1012835
"83",83,83,"Poeciliopsis_presidionis","Poeciliopsis presidionis",1026893
"84",84,84,"Poeciliopsis_turrubarensis","Poeciliopsis turrubarensis",282308
"85",85,85,"Poeciliopsis_scarlli","Poeciliopsis scarlli",1011934
"86",86,86,"Poeciliopsis_elongata","Poeciliopsis elongata",282304
"87",87,87,"Poeciliopsis_retropinna","Poeciliopsis retropinna",1018210
"88",88,88,"Poeciliopsis_paucimaculata","Poeciliopsis paucimaculata",1013335
"89",89,89,"Neoheterandria_elegans","Neoheterandria elegans",1017125
"90",90,90,"Neoheterandria_tridentiger","Neoheterandria tridentiger",1019345
"91",91,91,"Priapichthys_puetzi","Priapichthys puetzi",1010704
"92",92,92,"Priapichthys_annectens","Priapichthys annectens",1018339
"93",93,93,"Brachyrhaphis_cascajalensis","Brachyrhaphis cascajalensis",279988
"94",94,94,"Brachyrhaphis_parismina","Brachyrhaphis parismina",1017617
"95",95,95,"Xenophallus_umbratilis","Xenophallus umbratilis",1017614
"96",96,96,"Phallichthys_quadripunctatus","Phallichthys quadripunctatus",1012483
"97",97,97,"Phallichthys_tico","Phallichthys tico",1383585
"98",98,98,"Brachyrhaphis_roseni","Brachyrhaphis roseni",1383858
"99",99,99,"Brachyrhaphis_terrabensis","Brachyrhaphis terrabensis",1018340
"100",100,100,"Brachyrhaphis_rhabdophora","Brachyrhaphis rhabdophora",1018212
"101",101,101,"Brachyrhaphis_episcopi","Brachyrhaphis episcopi",1017438
"102",102,102,"Brachyrhaphis_holdridgei","Brachyrhaphis holdridgei",1013336
"103",103,103,"Phallichthys_amates","Phallichthys amates",1026891
"104",104,104,"Brachyrhaphis_hartwegi","Brachyrhaphis hartwegi",1012460
"105",105,105,"Alfaro_huberi","Alfaro huberi",1016646
"106",106,106,"Alfaro_cultratus","Alfaro cultratus",1017616
"107",107,107,"Heterandria_formosa","Heterandria formosa",281052
"108",108,108,"Pseudopoecilia_festae","Pseudopoecilia festae",1019176
"109",109,109,"Girardinus_metallicus","Girardinus metallicus",1014538
"110",110,110,"Girardinus_microdactylus","Girardinus microdactylus",1014522
"111",111,111,"Girardinus_creolus","Girardinus creolus",1383109
"112",112,112,"Girardinus_uninotatus","Girardinus uninotatus",1018709
"113",113,113,"Girardinus_falcatus","Girardinus falcatus",1014540
"114",114,114,"Girardinus_denticulatus","Girardinus denticulatus",1019315
"115",115,115,"Quintana_atrizona","Quintana atrizona",1014650
"116",116,116,"Limia_melanonotata","Limia melanonotata",1016605
"117",117,117,"Limia_perugiae","Limia perugiae",1018425
"118",118,118,"Limia_nigrofasciata","Limia nigrofasciata",1017366
"119",119,119,"Limia_pauciradiata","Limia pauciradiata",1012417
"120",120,120,"Limia_dominicensis","Limia dominicensis",1021991
"121",121,121,"Limia_tridens","Limia tridens",1019716
"122",122,122,"Limia_vittata","Limia vittata",281357
"123",123,123,"Limia_caymanensis","Limia caymanensis",281355
"124",124,124,"Limia_zonata","Limia zonata",1017187
"125",125,125,"Limia_versicolor","Limia versicolor",1020892
"126",126,126,"Limia_melanogaster","Limia melanogaster",1020915
"127",127,127,"Limia_heterandria","Limia heterandria",1017222
"128",128,128,"Pamphorichthys_scalpridens","Pamphorichthys scalpridens",1026423
"129",129,129,"Pamphorichthys_minor","Pamphorichthys minor",1019342
"130",130,130,"Pamphorichthys_hollandi","Pamphorichthys hollandi",1525805
"131",131,131,"Pamphorichthys_araguaiensis","Pamphorichthys araguaiensis",1007444
"132",132,132,"Pamphorichthys_hasemani","Pamphorichthys hasemani",1525804
"133",133,133,"Poecilia_gillii","Poecilia gillii",1021097
"134",134,134,"Poecilia_orri","Poecilia orri",275350
"135",135,135,"Poecilia_sulphuraria","Poecilia sulphuraria",1014323
"136",136,136,"Poecilia_mexicana","Poecilia mexicana",275349
"137",137,137,"Poecilia_butleri","Poecilia butleri",1019678
"138",138,138,"Poecilia_sphenops","Poecilia sphenops",275351
"139",139,139,"Poecilia_catemaconis","Poecilia catemaconis",1012838
"140",140,140,"Poecilia_velifera","Poecilia velifera",275352
"141",141,141,"Poecilia_latipinna","Poecilia latipinna",275348
"142",142,142,"Poecilia_petenensis","Poecilia petenensis",1017393
"143",143,143,"Poecilia_latipunctata","Poecilia latipunctata",1018571
"144",144,144,"Poecilia_caucana","Poecilia caucana",1020045
