"","AphiaID_host","scientificname","valid_AphiaID","valid_name","isMarine","isBrackish","isFreshwater","taxon_path"
"1",103710,"Ascidia mentula",103710,"Ascidia mentula",1,NA,0,"Animalia|Chordata|Ascidiacea|Phlebobranchia|Ascidiidae|Ascidia|Ascidia mentula"
"2",103713,"Ascidia obliqua",103713,"Ascidia obliqua",1,NA,0,"Animalia|Chordata|Ascidiacea|Phlebobranchia|Ascidiidae|Ascidia|Ascidia obliqua"
"3",103718,"Ascidiella aspersa",103718,"Ascidiella aspersa",1,NA,0,"Animalia|Chordata|Ascidiacea|Phlebobranchia|Ascidiidae|Ascidiella|Ascidiella aspersa"
"4",103719,"Ascidiella scabra",103719,"Ascidiella scabra",1,NA,0,"Animalia|Chordata|Ascidiacea|Phlebobranchia|Ascidiidae|Ascidiella|Ascidiella scabra"
"5",173223,"Corella eumyota",173223,"Corella eumyota",1,NA,0,"Animalia|Chordata|Ascidiacea|Phlebobranchia|Corellidae|Corella|Corella eumyota"
"6",103743,"Corella parallelogramma",103743,"Corella parallelogramma",1,NA,0,"Animalia|Chordata|Ascidiacea|Phlebobranchia|Corellidae|Corella|Corella parallelogramma"
"7",103830,"Herdmania momus",103830,"Herdmania momus",1,NA,0,"Animalia|Chordata|Ascidiacea|Stolidobranchia|Pyuridae|Herdmania|Herdmania momus"
"8",103837,"Microcosmus claudicans",103837,"Microcosmus claudicans",1,NA,0,"Animalia|Chordata|Ascidiacea|Stolidobranchia|Pyuridae|Microcosmus|Microcosmus claudicans"
"9",103844,"Microcosmus sabatieri",103844,"Microcosmus sabatieri",1,NA,0,"Animalia|Chordata|Ascidiacea|Stolidobranchia|Pyuridae|Microcosmus|Microcosmus sabatieri"
"10",103846,"Microcosmus vulgaris",103846,"Microcosmus vulgaris",1,NA,0,"Animalia|Chordata|Ascidiacea|Stolidobranchia|Pyuridae|Microcosmus|Microcosmus vulgaris"
"11",103724,"Phallusia mammillata",103724,"Phallusia mammillata",1,NA,0,"Animalia|Chordata|Ascidiacea|Phlebobranchia|Ascidiidae|Phallusia|Phallusia mammillata"
"12",103926,"Styela canopus",103926,"Styela canopus",1,NA,0,"Animalia|Chordata|Ascidiacea|Stolidobranchia|Styelidae|Styela|Styela canopus"
"13",103842,"Microcosmus polymorphus",103842,"Microcosmus polymorphus",1,NA,0,"Animalia|Chordata|Ascidiacea|Stolidobranchia|Pyuridae|Microcosmus|Microcosmus polymorphus"
"14",103732,"Ciona intestinalis",103732,"Ciona intestinalis",1,NA,0,"Animalia|Chordata|Ascidiacea|Phlebobranchia|Cionidae|Ciona|Ciona intestinalis"
"15",103717,"Ascidia virginea",103717,"Ascidia virginea",1,NA,0,"Animalia|Chordata|Ascidiacea|Phlebobranchia|Ascidiidae|Ascidia|Ascidia virginea"
"16",103552,"Clavelina lepadiformis",103552,"Clavelina lepadiformis",1,NA,0,"Animalia|Chordata|Ascidiacea|Aplousobranchia|Clavelinidae|Clavelina|Clavelina lepadiformis"
"17",103791,"Molgula occulta",103791,"Molgula occulta",1,NA,0,"Animalia|Chordata|Ascidiacea|Stolidobranchia|Molgulidae|Molgula|Molgula occulta"
"18",103929,"Styela clava",103929,"Styela clava",1,NA,0,"Animalia|Chordata|Ascidiacea|Stolidobranchia|Styelidae|Styela|Styela clava"
"19",250022,"Ascidia paratropa",250022,"Ascidia paratropa",1,NA,0,"Animalia|Chordata|Ascidiacea|Phlebobranchia|Ascidiidae|Ascidia|Ascidia paratropa"
"20",103733,"Diazona violacea",103733,"Diazona violacea",1,NA,0,"Animalia|Chordata|Ascidiacea|Aplousobranchia|Diazonidae|Diazona|Diazona violacea"
"21",103827,"Halocynthia papillosa",103827,"Halocynthia papillosa",1,NA,0,"Animalia|Chordata|Ascidiacea|Stolidobranchia|Pyuridae|Halocynthia|Halocynthia papillosa"
"22",156240,"Microcosmus sulcatus",103846,"Microcosmus vulgaris",1,NA,0,"Animalia|Chordata|Ascidiacea|Stolidobranchia|Pyuridae|Microcosmus|Microcosmus vulgaris"
"23",173280,"Molgula euplicata",173280,"Molgula euplicata",1,NA,0,"Animalia|Chordata|Ascidiacea|Stolidobranchia|Molgulidae|Molgula|Molgula euplicata"
"24",253537,"Polycarpa obtecta",251069,"Polycarpa spongiabilis",1,NA,0,"Animalia|Chordata|Ascidiacea|Stolidobranchia|Styelidae|Polycarpa|Polycarpa spongiabilis"
"25",103909,"Polycarpa pomaria",103909,"Polycarpa pomaria",1,NA,0,"Animalia|Chordata|Ascidiacea|Stolidobranchia|Styelidae|Polycarpa|Polycarpa pomaria"
"26",103736,"Rhopalaea neapolitana",103736,"Rhopalaea neapolitana",1,NA,0,"Animalia|Chordata|Ascidiacea|Aplousobranchia|Diazonidae|Rhopalaea|Rhopalaea neapolitana"
"27",103935,"Styela partita",103926,"Styela canopus",1,NA,0,"Animalia|Chordata|Ascidiacea|Stolidobranchia|Styelidae|Styela|Styela canopus"
"28",251302,"Pyura spinosissima",251302,"Pyura spinosissima",1,NA,0,"Animalia|Chordata|Ascidiacea|Stolidobranchia|Pyuridae|Pyura|Pyura spinosissima"
"29",103923,"Styela atlantica",103938,"Styela sigma",1,NA,0,"Animalia|Chordata|Ascidiacea|Stolidobranchia|Styelidae|Styela|Styela sigma"
"30",103932,"Styela gelatinosa",103932,"Styela gelatinosa",1,NA,0,"Animalia|Chordata|Ascidiacea|Stolidobranchia|Styelidae|Styela|Styela gelatinosa"
"31",103938,"Styela sigma",103938,"Styela sigma",1,NA,0,"Animalia|Chordata|Ascidiacea|Stolidobranchia|Styelidae|Styela|Styela sigma"
"32",253913,"Styela hupferi",103889,"Distomus hupferi",1,NA,0,"Animalia|Chordata|Ascidiacea|Stolidobranchia|Styelidae|Styela|Distomus hupferi"
"33",266679,"Parascidia areolata",249818,"Aplidium areolatum",1,NA,0,"Animalia|Chordata|Ascidiacea|Aplousobranchia|Polyclinidae|Parascidia|Aplidium areolatum"
