valid_AphiaID,target_taxon_name,target_taxon_path,isMarine,isBrackish,isFreshwater
105789,Carcharhinus falciformis,Animalia|Chordata|Elasmobranchii|Carcharhiniformes|Carcharhinidae|Carcharhinus|Carcharhinus falciformis,1,0,0
214581,Gaterin lineatus,Animalia|Chordata|Teleostei|Eupercaria incertae sedis|Haemulidae|Gaterin|Gaterin lineatus,1,0,0
275311,Sander vitreus,Animalia|Chordata|Teleostei|Perciformes|Percidae|Stizostedion|Sander vitreus,0,0,1
1022845,Lepomis cyanellus,Animalia|Chordata|Teleostei|Centrarchiformes|Centrarchidae|Apomotis|Lepomis cyanellus,0,0,1
282836,Sperata seenghala,Animalia|Chordata|Teleostei|Siluriformes|Bagridae|Mystus|Sperata seenghala,0,0,1
212810,Chromis ternatensis,Animalia|Chordata|Teleostei|Ovalentaria incertae sedis|Pomacentridae|Chromis|Chromis ternatensis,1,0,0
219952,Gastrophysus lunaris,Animalia|Chordata|Teleostei|Tetraodontiformes|Tetraodontidae|Gastrophysus|Gastrophysus lunaris,1,0,0
298328,Synaphobranchus brevidorsalis,Animalia|Chordata|Teleostei|Anguilliformes|Synaphobranchidae|Synaphobranchus|Synaphobranchus pinnatus,1,0,0
126089,Pampus,Animalia|Chordata|Teleostei|Scombriformes|Stromateidae|Stromateus|Pampus,1,0,0
1022504,Leiodon cutcutia,Animalia|Chordata|Teleostei|Tetraodontiformes|Tetraodontidae|Monotretus|Leiodon cutcutia,0,0,1
159288,Abudefduf saxatilis,Animalia|Chordata|Teleostei|Ovalentaria incertae sedis|Pomacentridae|Glyphisodon|Abudefduf saxatilis,1,0,0
275351,Poecilia sphenops,Animalia|Chordata|Teleostei|Cyprinodontiformes|Poeciliidae|Mollienisia|Poecilia sphenops,0,0,1
282836,Sperata seenghala,Animalia|Chordata|Teleostei|Siluriformes|Sisoridae|Macrones|Sperata seenghala,0,0,1
1021112,Coptodon guineensis,Animalia|Chordata|Teleostei|Cichliformes|Cichlidae|Coptodon|Coptodon guineensis,1,1,1
126375,Belone belone,Animalia|Chordata|Teleostei|Beloniformes|Belonidae|Belone|Belone belone,1,1,0
280366,Cololabis saira,Animalia|Chordata|Teleostei|Beloniformes|Scomberesocidae|Cololabis|Cololabis saira,1,0,0
272196,Hyporhamphus sajori,Animalia|Chordata|Teleostei|Beloniformes|Hemiramphidae|Hyporhamphus|Hyporhamphus sajori,1,1,1
159246,Ablennes hians,Animalia|Chordata|Teleostei|Beloniformes|Belonidae|Ablennes|Ablennes hians,1,1,0
293615,Hyporhamphus regularis,Animalia|Chordata|Teleostei|Beloniformes|Hemiramphidae|Hyporhamphus|Hyporhamphus regularis,0,1,1
272187,Hyporhamphus melanopterus,Animalia|Chordata|Teleostei|Beloniformes|Hemiramphidae|Hyporhamphus|Hyporhamphus melanopterus,1,0,0
126377,Platybelone argalus,Animalia|Chordata|Teleostei|Beloniformes|Belonidae|Platybelone|Platybelone argalus,1,0,0
159259,Tylosurus crocodilus,Animalia|Chordata|Teleostei|Beloniformes|Belonidae|Tylosurus|Tylosurus crocodilus,1,0,0
126375,Belone belone,Animalia|Chordata|Teleostei|Beloniformes|Belonidae|Belone|Belone belone,1,1,0
126380,Tylosurus imperialis,Animalia|Chordata|Teleostei|Beloniformes|Belonidae|Tylosurus|Tylosurus imperialis,1,0,0
127160,Solea solea,Animalia|Chordata|Teleostei|Pleuronectiformes|Soleidae|Solea|Solea solea,1,1,0
127160,Solea solea,Animalia|Chordata|Teleostei|Pleuronectiformes|Soleidae|Solea|Solea solea,1,1,0
127153,Buglossidium luteum,Animalia|Chordata|Teleostei|Pleuronectiformes|Soleidae|Buglossidium|Buglossidium luteum,1,0,0
105841,Lamna nasus,Animalia|Chordata|Elasmobranchii|Lamniformes|Lamnidae|Lamna|Lamna nasus,1,0,0
276150,Menticirrhus undulatus,Animalia|Chordata|Teleostei|Eupercaria incertae sedis|Sciaenidae|Menticirrhus|Menticirrhus undulatus,1,0,0
282054,Paralabrax clathratus,Animalia|Chordata|Teleostei|Perciformes|Serranidae|Paralabrax|Paralabrax clathratus,1,0,0
282059,Paralabrax nebulifer,Animalia|Chordata|Teleostei|Perciformes|Serranidae|Paralabrax|Paralabrax nebulifer,1,0,0
275809,Paralichthys californicus,Animalia|Chordata|Teleostei|Pleuronectiformes|Paralichthyidae|Paralichthys|Paralichthys californicus,1,1,0
273978,Sphyraena argentea,Animalia|Chordata|Teleostei|Carangaria incertae sedis|Sphyraenidae|Sphyraena|Sphyraena argentea,1,0,0
127154,Dicologlossa cuneata,Animalia|Chordata|Teleostei|Pleuronectiformes|Soleidae|Dicologlossa|Dicologlossa cuneata,1,1,0
236492,Synapturichthys kleinii,Animalia|Chordata|Teleostei|Pleuronectiformes|Soleidae|Synapturichthys|Synapturichthys kleinii,1,1,0
127159,Solea senegalensis,Animalia|Chordata|Teleostei|Pleuronectiformes|Soleidae|Solea|Solea senegalensis,1,0,0
126810,Lichia amia,Animalia|Chordata|Teleostei|Carangiformes|Carangidae|Lichia|Lichia amia,1,1,0
126819,Trachinotus ovatus,Animalia|Chordata|Teleostei|Carangiformes|Carangidae|Lichia|Trachinotus ovatus,1,1,0
127068,Sphyraena sphyraena,Animalia|Chordata|Teleostei|Carangaria incertae sedis|Sphyraenidae|Sphyraena|Sphyraena sphyraena,1,0,0
126819,Trachinotus ovatus,Animalia|Chordata|Teleostei|Carangiformes|Carangidae|Trachinotus|Trachinotus ovatus,1,1,0
217876,Strongylura leiura,Animalia|Chordata|Teleostei|Beloniformes|Belonidae|Tylosurus|Strongylura leiura,1,1,0
126385,Exocoetus volitans,Animalia|Chordata|Teleostei|Beloniformes|Exocoetidae|Exocoetus|Exocoetus volitans,1,0,0
126421,Sardina pilchardus,Animalia|Chordata|Teleostei|Clupeiformes|Alosidae|Sardina|Sardina pilchardus,1,1,1
126392,Scomberesox saurus,Animalia|Chordata|Teleostei|Beloniformes|Scomberesocidae|Scomberesox|Scomberesox saurus,1,0,0
127141,Platichthys flesus,Animalia|Chordata|Teleostei|Pleuronectiformes|Pleuronectidae|Platichthys|Platichthys flesus,1,1,1
126436,Gadus morhua,Animalia|Chordata|Teleostei|Gadiformes|Gadidae|Gadus|Gadus morhua,1,1,0
126461,Molva molva,Animalia|Chordata|Teleostei|Gadiformes|Lotidae|Molva|Molva molva,1,0,0
126501,Phycis blennoides,Animalia|Chordata|Teleostei|Gadiformes|Phycidae|Phycis|Phycis blennoides,1,0,0
126974,Luvarus imperialis,Animalia|Chordata|Teleostei|Acanthuriformes|Luvaridae|Astrodermus|Luvarus imperialis,1,0,0
126425,Sprattus sprattus,Animalia|Chordata|Teleostei|Clupeiformes|Clupeidae|Sprattus|Sprattus sprattus,1,1,0
126974,Luvarus imperialis,Animalia|Chordata|Teleostei|Acanthuriformes|Luvaridae|Luvarus|Luvarus imperialis,1,0,0
126386,Hirundichthys rondeletii,Animalia|Chordata|Teleostei|Beloniformes|Exocoetidae|Hirundichthys|Hirundichthys rondeletii,1,0,0
127023,Scomber scombrus,Animalia|Chordata|Teleostei|Scombriformes|Scombridae|Scomber|Scomber scombrus,1,1,0
282745,Selaroides leptolepis,Animalia|Chordata|Teleostei|Carangiformes|Carangidae|Selaroides|Selaroides leptolepis,1,1,0
212045,Sphyraena jello,Animalia|Chordata|Teleostei|Carangaria incertae sedis|Sphyraenidae|Sphyraena|Sphyraena jello,1,1,0
126413,Alosa alosa,Animalia|Chordata|Teleostei|Clupeiformes|Clupeidae|Clupea|Alosa alosa,1,1,1
126413,Alosa alosa,Animalia|Chordata|Teleostei|Clupeiformes|Alosidae|Alosa|Alosa alosa,1,1,1
127140,Microstomus kitt,Animalia|Chordata|Teleostei|Pleuronectiformes|Pleuronectidae|Microstomus|Microstomus kitt,1,0,0
127141,Platichthys flesus,Animalia|Chordata|Teleostei|Pleuronectiformes|Pleuronectidae|Pleuronectes|Platichthys flesus,1,1,1
127136,Glyptocephalus cynoglossus,Animalia|Chordata|Teleostei|Pleuronectiformes|Pleuronectidae|Glyptocephalus|Glyptocephalus cynoglossus,1,0,0
127137,Hippoglossoides platessoides,Animalia|Chordata|Teleostei|Pleuronectiformes|Pleuronectidae|Pleuronectes|Hippoglossoides platessoides,1,0,0
