"","AphiaID_parasite","ScientificName_parasite","valid_AphiaID","valid_name","isMarine","isBrackish","isFreshwater","source_taxon_path"
"1",106488,"Ascidicola rosea",106488,"Ascidicola rosea",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Ascidicolidae|Ascidicola|Ascidicola rosea"
"2",106489,"Styelicola bahusia",106489,"Styelicola bahusia",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Ascidicolidae|Styelicola|Styelicola bahusia"
"3",106490,"Botryllophilus aspinosus",106490,"Botryllophilus aspinosus",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Botryllophilidae|Botryllophilus|Botryllophilus aspinosus"
"4",106491,"Botryllophilus banyulensis",106491,"Botryllophilus banyulensis",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Botryllophilidae|Botryllophilus|Botryllophilus banyulensis"
"5",106492,"Botryllophilus bergensis",106492,"Botryllophilus bergensis",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Botryllophilidae|Botryllophilus|Botryllophilus bergensis"
"6",106494,"Botryllophilus macropus",106494,"Botryllophilus macropus",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Botryllophilidae|Botryllophilus|Botryllophilus macropus"
"7",106495,"Botryllophilus norvegicus",106495,"Botryllophilus norvegicus",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Botryllophilidae|Botryllophilus|Botryllophilus norvegicus"
"8",106496,"Botryllophilus ruber",106496,"Botryllophilus ruber",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Botryllophilidae|Botryllophilus|Botryllophilus ruber"
"9",106497,"Schizoproctus inflatus",106497,"Schizoproctus inflatus",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Botryllophilidae|Schizoproctus|Schizoproctus inflatus"
"10",106498,"Schizoproctus vestitus",106498,"Schizoproctus vestitus",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Botryllophilidae|Schizoproctus|Schizoproctus vestitus"
"11",106499,"Buprorus loveni",106499,"Buprorus loveni",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Buproridae|Buprorus|Buprorus loveni"
"12",106501,"Chordeumium obesum",106501,"Chordeumium obesum",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Chordeumiidae|Chordeumium|Chordeumium obesum"
"13",106503,"Parachordeumium amphiurae",106503,"Parachordeumium amphiurae",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Chordeumiidae|Parachordeumium|Parachordeumium amphiurae"
"14",106505,"Euryte longicauda",416526,"Euryte minor",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Euryteidae|Euryte|Euryte minor"
"15",106556,"Gomphopodarion byssoicum",106556,"Gomphopodarion byssoicum",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Enterognathidae|Gomphopodarion|Gomphopodarion byssoicum"
"16",106558,"Enterocola bilamellata",106558,"Enterocola bilamellata",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Enteropsidae|Enterocola|Enterocola bilamellata"
"17",106559,"Enterocola brementi",106559,"Enterocola brementi",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Enteropsidae|Enterocola|Enterocola brementi"
"18",106560,"Enterocola clavelinae",106560,"Enterocola clavelinae",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Enteropsidae|Enterocola|Enterocola clavelinae"
"19",106561,"Enterocola fertilis",106561,"Enterocola fertilis",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Enteropsidae|Enterocola|Enterocola fertilis"
"20",106562,"Enterocola fulgens",106562,"Enterocola fulgens",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Enteropsidae|Enterocola|Enterocola fulgens"
"21",106563,"Enterocola gottoi",106563,"Enterocola gottoi",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Enteropsidae|Enterocola|Enterocola gottoi"
"22",106564,"Enterocola hessei",106564,"Enterocola hessei",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Enteropsidae|Enterocola|Enterocola hessei"
"23",106566,"Enterocola mammifera",106566,"Enterocola mammifera",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Enteropsidae|Enterocola|Enterocola mammifera"
"24",106567,"Enterocola megalova",106567,"Enterocola megalova",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Enteropsidae|Enterocola|Enterocola megalova"
"25",106568,"Enterocola petiti",106568,"Enterocola petiti",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Enteropsidae|Enterocola|Enterocola petiti"
"26",106570,"Enterocola pterophora",106570,"Enterocola pterophora",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Enteropsidae|Enterocola|Enterocola pterophora"
"27",106572,"Enterocola sydnii",106572,"Enterocola sydnii",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Enteropsidae|Enterocola|Enterocola sydnii"
"28",106574,"Lequerrea canui",106574,"Lequerrea canui",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Enteropsidae|Lequerrea|Lequerrea canui"
"29",106575,"Lequerrea perezi",106575,"Lequerrea perezi",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Enteropsidae|Lequerrea|Lequerrea perezi"
"30",106576,"Enterognathus comatulae",106576,"Enterognathus comatulae",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Enterognathidae|Enterognathus|Enterognathus comatulae"
"31",106577,"Enteropsis chattoni",106577,"Enteropsis chattoni",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Enteropsidae|Enteropsis|Enteropsis chattoni"
"32",106578,"Enteropsis roscoffensis",106578,"Enteropsis roscoffensis",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Enteropsidae|Enteropsis|Enteropsis roscoffensis"
"33",106579,"Mychophilus palmatus",106579,"Mychophilus palmatus",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Enteropsidae|Mychophilus|Mychophilus palmatus"
"34",106580,"Mychophilus roseus",106580,"Mychophilus roseus",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Enteropsidae|Mychophilus|Mychophilus roseus"
"35",106581,"Fratia gaditana",106581,"Fratia gaditana",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Fratiidae|Fratia|Fratia gaditana"
"36",106582,"Haplostoma banyulensis",106582,"Haplostoma banyulensis",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Botryllophilidae|Haplostoma|Haplostoma banyulensis"
"37",106583,"Haplostoma brevicauda",106583,"Haplostoma brevicauda",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Botryllophilidae|Haplostoma|Haplostoma brevicauda"
"38",106584,"Haplostoma canui",106584,"Haplostoma canui",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Botryllophilidae|Haplostoma|Haplostoma canui"
"39",106585,"Haplostoma eruca",106585,"Haplostoma eruca",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Botryllophilidae|Haplostoma|Haplostoma eruca"
"40",106586,"Haplostoma mizoulei",106586,"Haplostoma mizoulei",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Botryllophilidae|Haplostoma|Haplostoma mizoulei"
"41",106587,"Haplostomides hibernicus",106587,"Haplostomides hibernicus",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Botryllophilidae|Haplostomides|Haplostomides hibernicus"
"42",106588,"Haplostomides scotti",106588,"Haplostomides scotti",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Botryllophilidae|Haplostomides|Haplostomides scotti"
"43",106589,"Bonnierilla altera",106589,"Bonnierilla altera",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Notodelphyidae|Bonnierilla|Bonnierilla altera"
"44",106590,"Bonnierilla arcuata",106590,"Bonnierilla arcuata",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Notodelphyidae|Bonnierilla|Bonnierilla arcuata"
"45",106591,"Bonnierilla armata",1473452,"Nobinerilla armata",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Notodelphyidae|Bonnierilla|Nobinerilla armata"
"46",106592,"Bonnierilla filipes",1473451,"Nobinerilla filipes",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Notodelphyidae|Bonnierilla|Nobinerilla filipes"
"47",106593,"Bonnierilla longipes",106593,"Bonnierilla longipes",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Notodelphyidae|Bonnierilla|Bonnierilla longipes"
"48",106594,"Bonnierilla similis",106594,"Bonnierilla similis",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Notodelphyidae|Bonnierilla|Bonnierilla similis"
"49",106595,"Botachus cylindratus",106595,"Botachus cylindratus",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Notodelphyidae|Botachus|Botachus cylindratus"
"50",106596,"Brementia balneolensis",106596,"Brementia balneolensis",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Notodelphyidae|Brementia|Brementia balneolensis"
"51",106597,"Brementia illgi",106597,"Brementia illgi",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Notodelphyidae|Brementia|Brementia illgi"
"52",106599,"Demoixys chattoni",106599,"Demoixys chattoni",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Notodelphyidae|Demoixys|Demoixys chattoni"
"53",106600,"Demoixys dialepta",106600,"Demoixys dialepta",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Notodelphyidae|Demoixys|Demoixys dialepta"
"54",106601,"Doroixys uncinata",106601,"Doroixys uncinata",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Notodelphyidae|Doroixys|Doroixys uncinata"
"55",106602,"Doropygella normani",106602,"Doropygella normani",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Notodelphyidae|Doropygella|Doropygella normani"
"56",106603,"Doropygella porcicauda",106603,"Doropygella porcicauda",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Notodelphyidae|Doropygella|Doropygella porcicauda"
"57",106608,"Doropygus pulex",106608,"Doropygus pulex",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Notodelphyidae|Doropygus|Doropygus pulex"
"58",106609,"Goniodelphys trigona",106609,"Goniodelphys trigona",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Notodelphyidae|Goniodelphys|Goniodelphys trigona"
"59",106604,"Doropygella psyllus",106604,"Doropygella psyllus",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Notodelphyidae|Doropygella|Doropygella psyllus"
"60",106605,"Doropygella thorelli",106605,"Doropygella thorelli",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Notodelphyidae|Doropygella|Doropygella thorelli"
"61",106606,"Doropygopsis arctica",106606,"Doropygopsis arctica",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Notodelphyidae|Doropygopsis|Doropygopsis arctica"
"62",106607,"Doropygopsis longicauda",106607,"Doropygopsis longicauda",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Notodelphyidae|Doropygopsis|Doropygopsis longicauda"
"63",106610,"Gunenotophorus globularis",106610,"Gunenotophorus globularis",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Notodelphyidae|Gunenotophorus|Gunenotophorus globularis"
"64",106611,"Haplostatus incubatrix",106611,"Haplostatus incubatrix",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Notodelphyidae|Haplostatus|Haplostatus incubatrix"
"65",106613,"Mesoixys otaria",106613,"Mesoixys otaria",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Notodelphyidae|Mesoixys|Mesoixys otaria"
"66",106614,"Notodelphys acanthomela",106614,"Notodelphys acanthomela",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Notodelphyidae|Notodelphys|Notodelphys acanthomela"
"67",106615,"Notodelphys agilis",106615,"Notodelphys agilis",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Notodelphyidae|Notodelphys|Notodelphys agilis"
"68",106616,"Notodelphys allmani",745861,"Notodelphys allmani allmani",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Notodelphyidae|Notodelphys|Notodelphys allmani allmani"
"69",106617,"Notodelphys caerulea",106617,"Notodelphys caerulea",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Notodelphyidae|Notodelphys|Notodelphys caerulea"
"70",106618,"Notodelphys canui",106618,"Notodelphys canui",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Notodelphyidae|Notodelphys|Notodelphys canui"
"71",106619,"Notodelphys cryptopyge",106619,"Notodelphys cryptopyge",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Notodelphyidae|Notodelphys|Notodelphys cryptopyge"
"72",106620,"Notodelphys elegans",106620,"Notodelphys elegans",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Notodelphyidae|Notodelphys|Notodelphys elegans"
"73",106621,"Notodelphys haranti",106621,"Notodelphys haranti",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Notodelphyidae|Notodelphys|Notodelphys haranti"
"74",106622,"Notodelphys platymera",106622,"Notodelphys platymera",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Notodelphyidae|Notodelphys|Notodelphys platymera"
"75",106623,"Notodelphys prasina",106623,"Notodelphys prasina",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Notodelphyidae|Notodelphys|Notodelphys prasina"
"76",106624,"Notodelphys reducta",106624,"Notodelphys reducta",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Notodelphyidae|Notodelphys|Notodelphys reducta"
"77",106625,"Notodelphys rufescens",106625,"Notodelphys rufescens",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Notodelphyidae|Notodelphys|Notodelphys rufescens"
"78",106626,"Notodelphys tenera",106626,"Notodelphys tenera",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Notodelphyidae|Notodelphys|Notodelphys tenera"
"79",106628,"Notopterophorus auritus",106628,"Notopterophorus auritus",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Notodelphyidae|Notopterophorus|Notopterophorus auritus"
"80",106629,"Notopterophorus dimitus",106629,"Notopterophorus dimitus",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Notodelphyidae|Notopterophorus|Notopterophorus dimitus"
"81",106630,"Notopterophorus elatus",106630,"Notopterophorus elatus",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Notodelphyidae|Notopterophorus|Notopterophorus elatus"
"82",106631,"Notopterophorus elongatus",NA,NA,1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Notodelphyidae|Notopterophorus|NA"
"83",106632,"Notopterophorus papilio",106632,"Notopterophorus papilio",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Notodelphyidae|Notopterophorus|Notopterophorus papilio"
"84",106633,"Ooneides amela",106633,"Ooneides amela",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Notodelphyidae|Ooneides|Ooneides amela"
"85",106636,"Pachypygus gibber",106636,"Pachypygus gibber",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Notodelphyidae|Pachypygus|Pachypygus gibber"
"86",106637,"Prophioseides abdominalis",106637,"Prophioseides abdominalis",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Notodelphyidae|Prophioseides|Prophioseides abdominalis"
"87",106638,"Prophioseides delamarei",106638,"Prophioseides delamarei",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Notodelphyidae|Prophioseides|Prophioseides delamarei"
"88",106639,"Prophioseides diplosomae",1474103,"Procampodelphys diplosomae",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Notodelphyidae|Prophioseides|Procampodelphys diplosomae"
"89",106640,"Scolecimorpha joubini",359751,"Ophioseides cardiocephalus",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Notodelphyidae|Scolecimorpha|Ophioseides cardiocephalus"
"90",106641,"Sicyodelphys bocqueti",106641,"Sicyodelphys bocqueti",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Notodelphyidae|Sicyodelphys|Sicyodelphys bocqueti"
"91",115678,"Balaenophilus unisetus",115678,"Balaenophilus unisetus",1,0,0,"Animalia|Arthropoda|Copepoda|Harpacticoida|Balaenophilidae|Balaenophilus|Balaenophilus unisetus"
"92",115683,"Cletocamptus retrogressus",115683,"Cletocamptus retrogressus",1,1,0,"Animalia|Arthropoda|Copepoda|Harpacticoida|Canthocamptidae|Cletocamptus|Cletocamptus retrogressus"
"93",116121,"Peltobradya bryozoophila",116121,"Peltobradya bryozoophila",1,0,0,"Animalia|Arthropoda|Copepoda|Harpacticoida|Ectinosomatidae|Peltobradya|Peltobradya bryozoophila"
"94",116162,"Euterpina acutifrons",116162,"Euterpina acutifrons",1,1,0,"Animalia|Arthropoda|Copepoda|Harpacticoida|Tachidiidae|Euterpina|Euterpina acutifrons"
"95",116231,"Harrietella simulans",116231,"Harrietella simulans",1,0,0,"Animalia|Arthropoda|Copepoda|Harpacticoida|Laophontidae|Harrietella|Harrietella simulans"
"96",116232,"Hemilaophonte janinae",116232,"Hemilaophonte janinae",1,0,0,"Animalia|Arthropoda|Copepoda|Harpacticoida|Laophontidae|Hemilaophonte|Hemilaophonte janinae"
"97",116253,"Laophonte adamsiae",116253,"Laophonte adamsiae",1,0,0,"Animalia|Arthropoda|Copepoda|Harpacticoida|Laophontidae|Laophonte|Laophonte adamsiae"
"98",116254,"Laophonte aldonae",116254,"Laophonte aldonae",1,0,0,"Animalia|Arthropoda|Copepoda|Harpacticoida|Laophontidae|Laophonte|Laophonte aldonae"
"99",116264,"Laophonte dominicalis",116264,"Laophonte dominicalis",1,0,0,"Animalia|Arthropoda|Copepoda|Harpacticoida|Laophontidae|Laophonte|Laophonte dominicalis"
"100",116269,"Laophonte inopinata",116269,"Laophonte inopinata",1,0,0,"Animalia|Arthropoda|Copepoda|Harpacticoida|Laophontidae|Laophonte|Laophonte inopinata"
"101",116275,"Laophonte serrata",116275,"Laophonte serrata",1,0,0,"Animalia|Arthropoda|Copepoda|Harpacticoida|Laophontidae|Laophonte|Laophonte serrata"
"102",116286,"Loureirophonte majacola",1544090,"Paralaophonte (Loureirophonte) majacola",1,0,0,"Animalia|Arthropoda|Copepoda|Harpacticoida|Laophontidae|Loureirophonte|Paralaophonte (Loureirophonte) majacola"
"103",116292,"Paralaophonte hyperborea",1544045,"Paralaophonte (Paralaophonte) hyperborea",1,0,0,"Animalia|Arthropoda|Copepoda|Harpacticoida|Laophontidae|Paralaophonte|Paralaophonte (Paralaophonte) hyperborea"
"104",116293,"Paralaophonte innae",1544054,"Paralaophonte (Paralaophonte) innae",1,0,0,"Animalia|Arthropoda|Copepoda|Harpacticoida|Laophontidae|Paralaophonte|Paralaophonte (Paralaophonte) innae"
"105",116295,"Paralaophonte macera",1544062,"Paralaophonte (Paralaophonte) macera",1,0,0,"Animalia|Arthropoda|Copepoda|Harpacticoida|Laophontidae|Paralaophonte|Paralaophonte (Paralaophonte) macera"
"106",116296,"Paralaophonte majae",1544063,"Paralaophonte (Paralaophonte) majae",1,0,0,"Animalia|Arthropoda|Copepoda|Harpacticoida|Laophontidae|Paralaophonte|Paralaophonte (Paralaophonte) majae"
"107",116301,"Paralaophonte royi",1544077,"Paralaophonte (Paralaophonte) royi",1,0,0,"Animalia|Arthropoda|Copepoda|Harpacticoida|Laophontidae|Paralaophonte|Paralaophonte (Paralaophonte) royi"
"108",116379,"Metis holothuriae",116379,"Metis holothuriae",1,0,0,"Animalia|Arthropoda|Copepoda|Harpacticoida|Metidae|Metis|Metis holothuriae"
"109",116512,"Tegastes knoepffleri",116512,"Tegastes knoepffleri",1,0,0,"Animalia|Arthropoda|Copepoda|Harpacticoida|Tegastidae|Tegastes|Tegastes knoepffleri"
"110",116600,"Parathalestris harpactoides",116600,"Parathalestris harpactoides",1,0,0,"Animalia|Arthropoda|Copepoda|Harpacticoida|Thalestridae|Parathalestris|Parathalestris harpactoides"
"111",116619,"Thalestris longimana",116619,"Thalestris longimana",1,0,0,"Animalia|Arthropoda|Copepoda|Harpacticoida|Thalestridae|Thalestris|Thalestris longimana"
"112",116630,"Cholidya polypi",116630,"Cholidya polypi",1,0,0,"Animalia|Arthropoda|Copepoda|Harpacticoida|Tisbidae|Cholidya|Cholidya polypi"
"113",116641,"Sacodiscus humesi",116641,"Sacodiscus humesi",1,0,0,"Animalia|Arthropoda|Copepoda|Harpacticoida|Tisbidae|Sacodiscus|Sacodiscus humesi"
"114",116658,"Tisbe cucumariae",116658,"Tisbe cucumariae",1,0,0,"Animalia|Arthropoda|Copepoda|Harpacticoida|Tisbidae|Tisbe|Tisbe cucumariae"
"115",116665,"Tisbe furcata",116911,"Tisbe furcata furcata",1,0,0,"Animalia|Arthropoda|Copepoda|Harpacticoida|Tisbidae|Tisbe|Tisbe furcata furcata"
"116",116670,"Tisbe holothuriae",116670,"Tisbe holothuriae",1,0,0,"Animalia|Arthropoda|Copepoda|Harpacticoida|Tisbidae|Tisbe|Tisbe holothuriae"
"117",119802,"Monstrilla helgolandica",1381786,"Caromiobenella helgolandica",1,0,0,"Animalia|Arthropoda|Copepoda|Monstrilloida|Monstrillidae|Monstrilla|Caromiobenella helgolandica"
"118",119809,"Monstrilla serricornis",1381787,"Caromiobenella serricornis",1,0,0,"Animalia|Arthropoda|Copepoda|Monstrilloida|Monstrillidae|Monstrilla|Caromiobenella serricornis"
"119",128738,"Anomoclausia indrehusae",128738,"Anomoclausia indrehusae",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Anomoclausiidae|Anomoclausia|Anomoclausia indrehusae"
"120",128740,"Staurosoma parasiticum",128740,"Staurosoma parasiticum",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Antheacheridae|Staurosoma|Staurosoma parasiticum"
"121",128741,"Anthessius arenicolus",128741,"Anthessius arenicolus",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Anthessiidae|Anthessius|Anthessius arenicolus"
"122",128742,"Anthessius leptostylis",128742,"Anthessius leptostylis",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Anthessiidae|Anthessius|Anthessius leptostylis"
"123",128743,"Anthessius teissieri",128743,"Anthessius teissieri",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Anthessiidae|Anthessius|Anthessius teissieri"
"124",128745,"Bomolochus bellones",128745,"Bomolochus bellones",1,0,0,"Animalia|Arthropoda|Copepoda|Cyclopoida|Bomolochidae|Bomolochus|Bomolochus bellones"
